id,observed_on,time_observed_at,time_zone,quality_grade,url,image_url,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,place_guess,latitude,longitude,positional_accuracy,geoprivacy,positioning_device,place_town_name,place_county_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_family_name,taxon_genus_name,taxon_species_name
3078413,5/1/16,2016-05-01 21:43:52 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3078413,http://static.inaturalist.org/photos/3549285/medium.jpg,,1,0,FALSE,Black Diamond Mines Regional Park,37.971782,-121.861398,1254,,manual,,Contra Costa,California Pitcher Sage,Lepechinia calycina,California Pitcher Sage,Plantae,57114,Lamiaceae,Lepechinia,Lepechinia calycina
3078420,5/1/16,2016-05-01 21:48:45 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3078420,http://static.inaturalist.org/photos/3549293/medium.jpg,,2,0,FALSE,Black Diamond Mines Regional Park,37.971782,-121.861398,1254,,manual,,Contra Costa,oneleaf onion,Allium unifolium,oneleaf onion,Plantae,59781,Amaryllidaceae,Allium,Allium unifolium
3078457,5/1/16,2016-05-01 22:20:35 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3078457,http://static.inaturalist.org/photos/3549362/medium.jpg,,1,0,FALSE,Black Diamond Mines Regional Park,37.971782,-121.861398,1254,,manual,,Contra Costa,Butterfly Mariposa Lily,Calochortus venustus,Butterfly Mariposa Lily,Plantae,53902,Liliaceae,Calochortus,Calochortus venustus
3236583,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236583,http://static.inaturalist.org/photos/3746036/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,Butterfly Mariposa Lily,Calochortus venustus,Butterfly Mariposa Lily,Plantae,53902,Liliaceae,Calochortus,Calochortus venustus
3236613,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236613,http://static.inaturalist.org/photos/3746080/medium.jpg,C albus x C. pulchellus likely hybrid.,3,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,Calochortus albus,Calochortus albus,White Globe Lily,Plantae,51315,Liliaceae,Calochortus,Calochortus albus
3236643,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236643,http://static.inaturalist.org/photos/3746107/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,California pitcher sage,Lepechinia calycina,California Pitcher Sage,Plantae,57114,Lamiaceae,Lepechinia,Lepechinia calycina
3236670,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236670,http://static.inaturalist.org/photos/3746155/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,oneleaf onion,Allium unifolium,oneleaf onion,Plantae,59781,Amaryllidaceae,Allium,Allium unifolium
3236685,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236685,http://static.inaturalist.org/photos/3746194/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,Whiskerbrush,Leptosiphon ciliatus,Whiskerbrush,Plantae,77684,Polemoniaceae,Leptosiphon,Leptosiphon ciliatus
3236693,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236693,http://static.inaturalist.org/photos/3746213/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,Winecup Clarkia,Clarkia purpurea,Winecup Clarkia,Plantae,51087,Onagraceae,Clarkia,Clarkia purpurea
3236719,5/1/16,,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/3236719,http://static.inaturalist.org/photos/3746273/medium.jpg,,1,0,FALSE,Black Diamond Mines,37.951724,-121.85297,2224,,,,Contra Costa,Q-tips,Micropus californicus,Q-tips,Plantae,56975,Asteraceae,Micropus,Micropus californicus
4055199,9/4/16,2016-09-05 00:49:43 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4055199,http://static.inaturalist.org/photos/4803979/medium.jpg,,3,0,FALSE,"Contra Loma Regional Park, Antioch, CA, US",37.97456667,-121.833275,,,,,Contra Costa,Yellow Starthistle,Centaurea solstitialis,Yellow Star-Thistle,Plantae,52588,Asteraceae,Centaurea,Centaurea solstitialis
4055201,9/4/16,2016-09-05 00:50:49 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4055201,http://static.inaturalist.org/photos/4803982/medium.jpg,,2,0,FALSE,"Contra Loma Regional Park, Antioch, CA, US",37.97505333,-121.8334367,,,,,Contra Costa,wild oat,Avena fatua,wild oat,Plantae,52698,Poaceae,Avena,Avena fatua
4055208,9/4/16,2016-09-05 00:50:23 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4055208,http://static.inaturalist.org/photos/4803990/medium.jpg,,2,0,FALSE,"Contra Loma Regional Park, Antioch, CA, US",37.97482167,-121.8333133,,,,,Contra Costa,Turkey Mullein,Croton setiger,turkey mullein,Plantae,154156,Euphorbiaceae,Croton,Croton setiger
4681928,12/2/16,2016-12-02 21:47:00 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4681928,http://static.inaturalist.org/photos/5682958/medium.jpg,Possibly cultivated.,2,0,FALSE,"Antioch, CA, USA",37.9749669,-121.8279076,31,,,,Contra Costa,Toyon,Heteromeles arbutifolia,Toyon,Plantae,53405,Rosaceae,Heteromeles,Heteromeles arbutifolia
4717632,9/25/16,2016-09-25 17:40:21 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4717632,http://static.inaturalist.org/photos/5702025/medium.jpg,,2,0,FALSE,"Black Diamond Mines Regional Preserve, Pittsburg, CA, US",37.95760338,-121.8669345,73,,,,Contra Costa,Vinegar Weed,Trichostema lanceolatum,Vinegar Weed,Plantae,54875,Lamiaceae,Trichostema,Trichostema lanceolatum
4718128,4/3/16,2016-04-03 18:13:40 UTC,Pacific Time (US & Canada),research,http://www.inaturalist.org/observations/4718128,http://static.inaturalist.org/photos/5702984/medium.jpg,,1,0,FALSE,"Lougher Loop Trl, Pittsburg, CA, US",37.96830582,-121.8780358,76,,,,Contra Costa,Purple Owl's Clover,Castilleja exserta,purple owl's-clover,Plantae,49343,Orobanchaceae,Castilleja,Castilleja exserta
5056415,4/16/16,2016-04-17 00:27:00 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/5056415,https://inaturalist-open-data.s3.amazonaws.com/photos/6200005/medium.jpg,Black Diamond Mines Regional Preserve,1,0,FALSE,"Contra Costa County, CA, USA",37.95278611,-121.8654472,,,,,Contra Costa,Mount Diablo manzanita,Arctostaphylos auriculata,Mount Diablo manzanita,Plantae,48023,Ericaceae,Arctostaphylos,Arctostaphylos auriculata
5090248,2/11/17,2017-02-11 18:48:52 UTC,Pacific Time (US & Canada),research,https://www.inaturalist.org/observations/5090248,https://inaturalist-open-data.s3.amazonaws.com/photos/6253337/medium.jpg,,1,0,FALSE,"Black Diamond Mines Regional Preserve, Brentwood, CA, US",37.9542403,-121.8681109,5,,,,Contra Costa,Woolly Indian Paintbrush,Castilleja foliolosa,Woolly Indian Paintbrush,Plantae,56760,Orobanchaceae,Castilleja,Castilleja foliolosa
